"","Expense.Center","Month","Year","freq"
"1",210,"APR",2015,5
"2",210,"APR",2016,5
"3",210,"APR",2017,6
"4",210,"APR",2018,11
"5",210,"AUG",2015,6
"6",210,"AUG",2016,4
"7",210,"AUG",2017,7
"8",210,"AUG",2018,5
"9",210,"DEC",2015,24
"10",210,"DEC",2016,15
"11",210,"DEC",2017,15
"12",210,"DEC",2018,10
"13",210,"FEB",2015,10
"14",210,"FEB",2016,8
"15",210,"FEB",2017,4
"16",210,"FEB",2018,3
"17",210,"JAN",2015,14
"18",210,"JAN",2016,8
"19",210,"JAN",2017,5
"20",210,"JAN",2018,10
"21",210,"JUL",2015,7
"22",210,"JUL",2016,10
"23",210,"JUL",2017,9
"24",210,"JUL",2018,9
"25",210,"JUN",2015,5
"26",210,"JUN",2016,5
"27",210,"JUN",2017,13
"28",210,"JUN",2018,8
"29",210,"MAR",2015,5
"30",210,"MAR",2016,9
"31",210,"MAR",2017,5
"32",210,"MAR",2018,6
"33",210,"MAY",2015,1
"34",210,"MAY",2016,6
"35",210,"MAY",2017,7
"36",210,"MAY",2018,9
"37",210,"NOV",2015,13
"38",210,"NOV",2016,13
"39",210,"NOV",2017,13
"40",210,"NOV",2018,14
"41",210,"OCT",2015,7
"42",210,"OCT",2016,5
"43",210,"OCT",2017,11
"44",210,"OCT",2018,3
"45",210,"SEP",2015,3
"46",210,"SEP",2016,6
"47",210,"SEP",2017,4
"48",210,"SEP",2018,6
"49",212,"APR",2015,3
"50",212,"APR",2016,6
"51",212,"APR",2017,3
"52",212,"APR",2018,5
"53",212,"AUG",2015,5
"54",212,"AUG",2016,9
"55",212,"AUG",2017,6
"56",212,"AUG",2018,2
"57",212,"DEC",2015,14
"58",212,"DEC",2016,19
"59",212,"DEC",2017,12
"60",212,"DEC",2018,12
"61",212,"FEB",2015,7
"62",212,"FEB",2016,12
"63",212,"FEB",2017,3
"64",212,"FEB",2018,10
"65",212,"JAN",2015,8
"66",212,"JAN",2016,18
"67",212,"JAN",2017,4
"68",212,"JAN",2018,6
"69",212,"JUL",2015,9
"70",212,"JUL",2016,11
"71",212,"JUL",2017,10
"72",212,"JUL",2018,11
"73",212,"JUN",2015,4
"74",212,"JUN",2016,8
"75",212,"JUN",2017,12
"76",212,"JUN",2018,12
"77",212,"MAR",2015,6
"78",212,"MAR",2016,10
"79",212,"MAR",2017,6
"80",212,"MAR",2018,8
"81",212,"MAY",2015,4
"82",212,"MAY",2016,4
"83",212,"MAY",2017,2
"84",212,"MAY",2018,6
"85",212,"NOV",2015,5
"86",212,"NOV",2016,11
"87",212,"NOV",2017,11
"88",212,"NOV",2018,11
"89",212,"OCT",2015,5
"90",212,"OCT",2016,5
"91",212,"OCT",2017,5
"92",212,"OCT",2018,8
"93",212,"SEP",2015,6
"94",212,"SEP",2016,6
"95",212,"SEP",2017,7
"96",212,"SEP",2018,7
"97",215,"APR",2015,6
"98",215,"APR",2016,7
"99",215,"APR",2017,3
"100",215,"APR",2018,8
"101",215,"AUG",2015,7
"102",215,"AUG",2016,4
"103",215,"AUG",2017,7
"104",215,"AUG",2018,6
"105",215,"DEC",2015,19
"106",215,"DEC",2016,16
"107",215,"DEC",2017,20
"108",215,"DEC",2018,26
"109",215,"FEB",2015,9
"110",215,"FEB",2016,11
"111",215,"FEB",2017,10
"112",215,"FEB",2018,12
"113",215,"JAN",2015,4
"114",215,"JAN",2016,8
"115",215,"JAN",2017,9
"116",215,"JAN",2018,11
"117",215,"JUL",2015,11
"118",215,"JUL",2016,13
"119",215,"JUL",2017,9
"120",215,"JUL",2018,13
"121",215,"JUN",2015,12
"122",215,"JUN",2016,8
"123",215,"JUN",2017,14
"124",215,"JUN",2018,9
"125",215,"MAR",2015,13
"126",215,"MAR",2016,10
"127",215,"MAR",2017,9
"128",215,"MAR",2018,15
"129",215,"MAY",2015,7
"130",215,"MAY",2016,7
"131",215,"MAY",2017,6
"132",215,"MAY",2018,8
"133",215,"NOV",2015,17
"134",215,"NOV",2016,11
"135",215,"NOV",2017,13
"136",215,"NOV",2018,14
"137",215,"OCT",2015,6
"138",215,"OCT",2016,8
"139",215,"OCT",2017,2
"140",215,"OCT",2018,3
"141",215,"SEP",2015,3
"142",215,"SEP",2016,12
"143",215,"SEP",2017,6
"144",215,"SEP",2018,6
"145",231,"APR",2015,13
"146",231,"APR",2016,10
"147",231,"APR",2017,9
"148",231,"APR",2018,4
"149",231,"AUG",2015,6
"150",231,"AUG",2016,5
"151",231,"AUG",2017,6
"152",231,"AUG",2018,6
"153",231,"DEC",2015,16
"154",231,"DEC",2016,29
"155",231,"DEC",2017,28
"156",231,"DEC",2018,21
"157",231,"FEB",2015,12
"158",231,"FEB",2016,9
"159",231,"FEB",2017,9
"160",231,"FEB",2018,10
"161",231,"JAN",2015,18
"162",231,"JAN",2016,15
"163",231,"JAN",2017,12
"164",231,"JAN",2018,10
"165",231,"JUL",2015,12
"166",231,"JUL",2016,9
"167",231,"JUL",2017,9
"168",231,"JUL",2018,12
"169",231,"JUN",2015,10
"170",231,"JUN",2016,9
"171",231,"JUN",2017,18
"172",231,"JUN",2018,9
"173",231,"MAR",2015,11
"174",231,"MAR",2016,10
"175",231,"MAR",2017,13
"176",231,"MAR",2018,15
"177",231,"MAY",2015,12
"178",231,"MAY",2016,5
"179",231,"MAY",2017,7
"180",231,"MAY",2018,11
"181",231,"NOV",2015,15
"182",231,"NOV",2016,15
"183",231,"NOV",2017,15
"184",231,"NOV",2018,17
"185",231,"OCT",2015,8
"186",231,"OCT",2016,5
"187",231,"OCT",2017,5
"188",231,"OCT",2018,6
"189",231,"SEP",2015,7
"190",231,"SEP",2016,9
"191",231,"SEP",2017,12
"192",231,"SEP",2018,4
