"","location","lon","lat","freq"
"1","  337 SUMMER ST",-71.089152,42.658985,22
"2","1 INDIA ST",-70.09867,41.28447,34
"3","103 ARCH ST",-71.05886,42.35487,31
"4","110 HIGH ST",-71.05443,42.35501,23
"5","115 NEWBURY ST",-71.076174,42.351561,22
"6","116 W 1ST ST",-71.05246,42.34333,23
"7","125 HIGH ST",-71.053027,42.355514,31
"8","126 HIGH ST",-71.05388,42.35554,23
"9","126 NEWBURY ST",-71.07639,42.351,23
"10","132 IPSWICH ST",-71.093664,42.347427,21
"11","136 HARRISON AVE",-71.06151,42.35013,23
"12","150 HUNTINGTON AV",71.08215,42.3446,26
"13","174 IPSWICH ST",-71.094974,42.346182,26
"14","175 BERKELEY ST",-71.071804,42.350059,22
"15","175 CAMBRIDGE ST",-71.065728,42.361547,22
"16","201 NEWBURY ST",-71.08044,42.35041,22
"17","241 A ST",-71.05111,42.34655,56
"18","241 ST BOTOLPH ST",-71.084873,42.341957,41
"19","245 SUMMER ST",-71.053832,42.351429,22
"20","25 KINGSTON ST",-71.059284,42.353707,24
"21","25 NEW CHARDON ST",-71.061748,42.362123,28
"22","286 NEWBURY ST",-71.08442,42.34886,23
"23","33 GAINSBOROUGH ST",-71.08594,42.34126,23
"24","330 CONGRESS ST",-71.049291,42.35122,28
"25","415 NEWBURY EXT",-71.089811,42.348258,28
"26","441 STUART ST",-71.076066,42.348645,24
"27","46 NEWBURY ST",-71.073099,42.351858,23
"28","500 BOYLSTON ST C-B",-71.07438,42.35074,22
"29","500 PARKER ST",-71.092816,42.337831,21
"30","51 BLOSSOM ST",-71.066457,42.363097,26
"31","7 EXCHANGE PLACE",-71.05597,42.35801,27
"32","70 FRANKLIN ST",-71.1332,42.35806,24
"33","736 CAMBRIDGE ST",-71.147681,42.348958,21
"34","75 NORTHERN AV",-71.045284,42.352291,50
"35","8 GARRISON ST",-71.07962,42.346187,22
"36","939 BOYLSTON ST",-71.085006,42.348269,21
"37","A STREET / MOUNT WASHINGTON AVE",-71.05225,42.34695,36
"38","ARCH ST / SUMMER ST",-72.022146,44.420711,22
"39","BATTERYMARCH ST / MILK ST",-71.057649,42.356882,21
"40","BERKELEY ST / COLUMBUS AVE",-71.071717,42.348569,21
"41","CAMBRIDGE ST / CENTER PLAZA",-71.059903,42.359473,23
"42","CHARLES ST / BEACON ST",-71.070508,42.358595,38
"43","CHARLES ST / BOYLSTON ST",-71.118926,42.342298,43
"44","CHAUNCY ST / SUMMER ST",-71.058777,42.353591,21
"45","EAST SERVICE RD / CONGRESS ST",-71.04934,42.35063,24
"46","EAST SERVICE RD / SEAPORT BLVD",-71.04123,42.34921,22
"47","EVANS WY / FENWAY",-71.097874,42.33775,22
"48","FEDERAL ST / HIGH ST",-71.05591,42.35405,49
"49","FRANKLIN ST / BROAD ST",-71.054051,42.356029,25
"50","GARDNER ST / BABCOCK ST",-71.12105,42.25,27
"51","GRANBY ST / BAY STATE ROAD",-72.562309,42.352905,26
"52","HIGH ST / OLIVER ST",-71.05269,42.35511,24
"53","MEDALLION AVE / BINFORD ST",-71.05121,42.34571,26
"54","MEDFORD ST / N WASHINGTON ST",-71.05988,42.3687,30
"55","MILK ST / PEARL ST",-71.055763,42.356907,38
"56","OLIVER ST / HIGH ST",-71.052692,42.355111,21
"57","OPP 161 DEVONSHIRE ST",-71.05755,42.35638,22
"58","OPP 337 SUMMER ST",-71.04812,42.34892,58
"59","SCOTIA ST / ST CECILIA ST",-71.086309,42.346598,22
"60","STUART ST / BERKELEY ST",-71.06747,42.35041,26
"61","STUART ST / DARTMOUTH ST",-71.076218,42.348245,34
"62","SUMMER ST / D ST",-71.041457,42.345776,23
"63","SUMMER ST / WORLD TRADE CENTER AVE",-71.0424,42.3486,24
"64","VALENTI WAY / CANAL ST",-71.059896,42.364334,21
"65","VAN NESS ST / YAWKEY WAY",-71.097218,42.346676,30
